year,type,production,consumption,Price,milk_id,unit_id,,,,"`year`, `type`, `production`, `consumption`, `price`, `milk_id`, `unit_id`"
1971,Concentrated whole milk products,292049,Total domestic disappearance,13.52,10,Kilolitres,,,,
1971,Ice cream,374007,Total domestic disappearance,17.32,13,Kilolitres,,,,
1972,Total dairy products,7784277,Total domestic disappearance,356.69,13,Kilolitres,,,,
1972,Fluid products,2573814,Total domestic disappearance,117.95,7,Kilolitres,,,,
1972,Butter,3288545,Total domestic disappearance,150.7,4,Kilolitres,,,,
1972,Cheese,1248648,Total domestic disappearance,57.22,12,Kilolitres,,,,
1972,Concentrated whole milk products,281563,Total domestic disappearance,12.9,5,Kilolitres,,,,
1972,Ice cream,391707,Total domestic disappearance,17.93,9,Kilolitres,,,,
1973,Total dairy products,7713416,Total domestic disappearance,349.42,13,Kilolitres,,,,
1973,Fluid products,2609624,Total domestic disappearance,118.23,4,Kilolitres,,,,
1973,Butter,3040587,Total domestic disappearance,137.76,9,Kilolitres,,,,
1973,Cheese,1389685,Total domestic disappearance,62.96,14,Kilolitres,,,,
1973,Concentrated whole milk products,275567,Total domestic disappearance,12.48,5,Kilolitres,,,,
1973,Ice cream,397954,Total domestic disappearance,17.99,9,Kilolitres,,,,
1974,Total dairy products,1240,Total domestic disappearance,350.38,10,Kilolitres,,,,
1974,Fluid products,2637165,Total domestic disappearance,117.76,1,Kilolitres,,,,
1974,Butter,2996106,Total domestic disappearance,133.78,10,Kilolitres,,,,
1974,Cheese,1563060,Total domestic disappearance,69.79,13,Kilolitres,,,,
1974,Concentrated whole milk products,254608,Total domestic disappearance,11.37,0,Kilolitres,,,,
1974,Ice cream,397423,Total domestic disappearance,17.68,4,Kilolitres,,,,
1975,Total dairy products,1264,Total domestic disappearance,330.56,5,Kilolitres,,,,
1975,Fluid products,2572833,Total domestic disappearance,113.2,11,Kilolitres,,,,
1975,Butter,2722923,Total domestic disappearance,119.81,11,Kilolitres,,,,
1975,Cheese,1563930,Total domestic disappearance,68.81,14,Kilolitres,,,,
1975,Concentrated whole milk products,237864,Total domestic disappearance,10.47,7,Kilolitres,,,,
1975,Ice cream,412985,Total domestic disappearance,18.26,4,Kilolitres,,,,
1976,Total dairy products,1214,Total domestic disappearance,327.21,10,Kilolitres,,,,
1976,Fluid products,2649419,Total domestic disappearance,115.07,3,Kilolitres,,,,
